date,type,title,event,location,url,slides_url,notes
2026-07-01,talk,Cognitive Modeling of Church Polarization,NetLogo Conference 2026,"Chicago, IL",https://conference.netlogo.org/2026/cfp,,"To be presented by students Katelin Jandris, Ryan Klein, and Ovgu Tufan (senior project)"
2026-02-27,talk,A Framework for Modeling Christian Communities with Agent-Based Models,Baylor Symposium on Faith & Culture 2026 — Technology and the Human Person in the Age of AI,"Waco, TX",https://ifl.web.baylor.edu/conferences-and-symposiums/baylor-symposium-faith-and-culture/2026-technology-and-human-person-3,/presentations/2026/Baylor/2026-Baylor.pdf,
2025-07-19,talk,Behavioral Insights into Political Polarization in Christian Communities through Computational Modeling,American Scientific Affiliation (ASA) Annual Meeting 2025,"Virtual/Hybrid",https://network.asa3.org/mpage/ASA2025,/presentations/2025/ASA/asa2025Araujo.pdf,
2025-06-01,poster,Scientific Collaboration in Health and Life Sciences: A Study of Brazil's Contributions and Partnerships,INSNA Sunbelt 2025,"Paris, France",https://www.conftool.pro/sunbelt2025/index.php?page=browseSessions&form_session=196#paperID891,,With Juliana Freitas Lopes et al. (Fiocruz)
2025-05-28,panel,Algorithms Democracy and Society: challenges and perspectives (Education and AI),Algoritmos e Sociedade — UFG,"Brazil (online)",https://algoritmosdesociedade.inf.ufg.br/#inicio,,In Portuguese
2025-05-19,talk,Modeling Introversion in the Classroom: An Agent-Based Approach,Autonomous Agents for Social Good (AASG) 2025,"Detroit, MI",https://panosd.eu/aasg2025/call/,,Presented by students Daniel Kwon and Jaden Brookens (senior project)
2024-11-29,talk,Agent-Based Modeling Applications in Brazilian Contexts,19º Congresso Brasileiro de Sistemas (CBS),"Goiânia, Brazil",https://19cbs.inf.ufg.br/,/presentations/2024/CBS-Brasil/abms.qmd,In Portuguese
